TIME,ARB
0.003130769,0.4189
0.003132692,-0.3752
0.003134615,0
0.003136538,0.2149
0.003138462,-0.3973
0.003140385,0.4404
0.003142308,-0.4008
0.003144231,0.4082
0.003146154,-0.4295
0.003148077,0.4082
0.00315,-0.4295
0.003151923,0.414
0.003153846,-0.4018
0.003155769,0.3867
0.003157692,-0.4295
0.003159615,0.4032
0.003161538,-0.3865
0.003163462,0.3867
0.003165385,-0.3968
0.003167308,0.352
0.003169231,-0.4078
0.003171154,0.3652
0.003173077,-0.3597
0.003175,0.3545
0.003176923,-0.3328
0.003178846,0.3385
0.003180769,-0.3534
0.003182692,0.3224
0.003184615,-0.3643
0.003186538,0.3424
0.003188462,-0.3221
0.003190385,0.3223
0.003192308,-0.2899
0.003194231,0.2578
0.003196154,-0.2899
0.003198077,0.2041
0.0032,-0.2202
0.003201923,0.2239
0.003203846,-0.1717
0.003205769,0.2285
0.003207692,-0.1645
0.003209615,0.2578
0.003211538,-0.5
0.003213462,0.1827
0.003215385,0.2793
0.003217308,-0.3436
0.003219231,0.3652
0.003221154,-0.4295
0.003223077,0.4082
0.003225,-0.3758
0.003226923,0.3437
0.003228846,-0.4197
0.003230769,0.4189
0.003232692,-0.3752
0.003234615,0
0.003236538,0.2149
0.003238462,-0.3973
0.003240385,0.4404
0.003242308,-0.4008
0.003244231,0.4082
0.003246154,-0.4295
0.003248077,0.4082
0.00325,-0.4295
0.003251923,0.414
0.003253846,-0.4018
0.003255769,0.3867
0.003257692,-0.4295
0.003259615,0.4032
0.003261538,-0.3865
0.003263462,0.3867
0.003265385,-0.3968
0.003267308,0.352
0.003269231,-0.4078
0.003271154,0.3652
0.003273077,-0.3597
0.003275,0.3545
0.003276923,-0.3328
0.003278846,0.3385
0.003280769,-0.3534
0.003282692,0.3224
0.003284615,-0.3643
0.003286538,0.3424
0.003288462,-0.3221
0.003290385,0.3223
0.003292308,-0.2899
0.003294231,0.2578
0.003296154,-0.2899
0.003298077,0.2041
0.0033,-0.2202
0.003301923,0.2239
0.003303846,-0.1717
0.003305769,0.2285
0.003307692,-0.1645
0.003309615,0.2578
0.003311538,-0.5
0.003313462,0.1827
0.003315385,0.2793
0.003317308,-0.3436
0.003319231,0.3652
0.003321154,-0.4295
0.003323077,0.4082
0.003325,-0.3758
0.003326923,0.3437
0.003328846,-0.4197
0.003330769,0.4189
0.003332692,-0.3752
0.003334615,0
